"taxon_names","status","min.age","max.age","site"
"Choerolophodon pentelici","extinct",7.1,11.2,866
"Choerolophodon pentelici","extinct",7.1,11.2,867
"Choerolophodon pentelici","extinct",7.1,9.88,121
"Choerolophodon pentelici","extinct",9,9.5,123
"Choerolophodon pentelici","extinct",8.2,9,868
"Choerolophodon pentelici","extinct",7.1,9,869
"Choerolophodon pentelici","extinct",7.1,9,870
"Choerolophodon pentelici","extinct",8.2,9,871
"Choerolophodon pentelici","extinct",8.2,9,872
"Choerolophodon pentelici","extinct",7.1,9,873
"Choerolophodon pentelici","extinct",8.2,9,874
"Choerolophodon pentelici","extinct",5.3,9,875
"Choerolophodon pentelici","extinct",7.1,9,876
"Choerolophodon pentelici","extinct",8.2,9,877
"Choerolophodon pentelici","extinct",5.3,9,878
"Choerolophodon pentelici","extinct",8.2,9,879
"Choerolophodon pentelici","extinct",7.1,8.2,880
"Choerolophodon pentelici","extinct",7.1,8.2,127
"Choerolophodon pentelici","extinct",7.1,8.2,881
"Choerolophodon pentelici","extinct",7.1,8.2,882
"Choerolophodon pentelici","extinct",5.3,8.2,883
"Gomphotherium angustidens","extinct",15.2,18,903
"Gomphotherium angustidens","extinct",16.4,17.2,904
"Gomphotherium angustidens","extinct",14.2,16.4,905
"Gomphotherium angustidens","extinct",16.4,17.2,907
"Gomphotherium angustidens","extinct",14.8,16.4,908
"Gomphotherium angustidens","extinct",12.2,12.9,909
"Gomphotherium angustidens","extinct",11.2,12.85,80
"Gomphotherium angustidens","extinct",15.2,18,911
"Gomphotherium angustidens","extinct",16.4,17.2,216
"Gomphotherium angustidens","extinct",16.4,17.2,912
"Gomphotherium angustidens","extinct",16.4,17.2,217
"Gomphotherium angustidens","extinct",16.4,17.2,913
"Gomphotherium angustidens","extinct",16.4,17.2,914
"Gomphotherium angustidens","extinct",16.4,17.2,915
"Gomphotherium angustidens","extinct",16.4,17.2,916
"Gomphotherium angustidens","extinct",16.4,17.2,917
"Gomphotherium angustidens","extinct",16.4,17.2,918
"Gomphotherium angustidens","extinct",16.4,17.2,919
"Gomphotherium angustidens","extinct",15.2,17,920
"Gomphotherium angustidens","extinct",14.2,16.4,921
"Gomphotherium angustidens","extinct",14.2,16.4,922
"Gomphotherium angustidens","extinct",14.2,16.4,923
"Gomphotherium angustidens","extinct",14.2,16.4,924
"Gomphotherium angustidens","extinct",14.2,16.4,925
"Gomphotherium angustidens","extinct",14.2,16.4,926
"Gomphotherium angustidens","extinct",14.2,16.4,927
"Gomphotherium angustidens","extinct",14.2,16.4,928
