species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Mammut borsoni,Eastern Asia,Yushe_siteSet_2,"4,9","3,6",Mammutidae,
Sinomastodon intermedius,Eastern Asia,Yushe_siteSet_2,"4,9","3,6",Gomphotheriidae,
Stegomastodon mirificus,Northern America,California CC43A_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Central Great Plains CP117B_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon primitivus,Northern America,Central Great Plains CP118_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Central Great Plains CP128C_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon primitivus,Northern America,Central Great Plains CP128C_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Southern Great Basin SB12_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Southern Great Basin SB15A_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon primitivus,Northern America,Southern Great Basin SB35B_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Southern Great Basin SB38IIB_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon mirificus,Northern America,Southern Great Basin SB38IIC_siteSet_1,"4,9","2,5",Gomphotheriidae,
Stegomastodon primitivus,Central America,Southern Great Basin SB63II_siteSet_1,"4,9","1,9",Gomphotheriidae,
Mammut americanum,Northern America,Asphalto Number 2_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,Elephant Butte Reservoir_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,Fish Spring Flat (UCMP V-93056)_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,Inglis IA_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,Keefe Canyon_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,North Dome (Pliomastodon Locality)_siteSet_1,"4,9","1,8",Mammutidae,
Mammut americanum,Northern America,Saw Rock Canyon (Upper)_siteSet_1,"4,9","1,8",Mammutidae,
