"species","region","minimum.age","maximum.age","family","Site"
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",458
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",459
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",460
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",461
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",462
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",463
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",464
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",465
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",466
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",467
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",468
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",469
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",470
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",471
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",472
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",473
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",474
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",475
"Mammuthus columbi","North America","0.012","0.126","Elephantidae",476
"Mammuthus creticus","Eurasia","0.7","0.8","Elephantidae",477
"Mammuthus exilis","North America","0.012","0.3","Elephantidae",478
"Mammuthus exilis","North America","0.012","0.126","Elephantidae",479
"Mammuthus gromovi","Eurasia","2.433","2.917","Elephantidae",480
"Mammuthus gromovi","Eurasia","2.5","3.5","Elephantidae",481
"Mammuthus lamarmorai","Eurasia","0.14","0.29","Elephantidae",482
"Mammuthus lamarmorai","Eurasia","0.029","0.191","Elephantidae",483
"Mammuthus lamarmorai","Eurasia","0.13","0.191","Elephantidae",484
"Mammuthus lamarmorai","Eurasia","0.1","0.126","Elephantidae",485
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",486
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",487
"Mammuthus meridionalis","Eurasia","2.192","2.433","Elephantidae",488
"Mammuthus meridionalis","Eurasia","1.95","2.433","Elephantidae",489
"Mammuthus meridionalis","Eurasia","1.95","2.275","Elephantidae",490
"Mammuthus meridionalis","Eurasia","2.6","3.5","Elephantidae",491
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",492
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",493
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",494
"Mammuthus meridionalis","Eurasia","1.806","2.588","Elephantidae",495
"Mammuthus meridionalis","Eurasia","2.3","2.4","Elephantidae",496
"Mammuthus meridionalis","Eurasia","1.6","2","Elephantidae",497
"Mammuthus meridionalis","Eurasia","1.4","1.583","Elephantidae",498
"Mammuthus meridionalis","Eurasia","0.9","1.22","Elephantidae",499
"Mammuthus meridionalis","Eurasia","0.9","1.22","Elephantidae",500
"Mammuthus meridionalis","Eurasia","0.427","0.621","Elephantidae",501
"Mammuthus meridionalis","Africa","2.6","3.56","Elephantidae",502
"Mammuthus meridionalis","Africa","2.6","2.6","Elephantidae",503
"Mammuthus meridionalis","Africa","1.78","1.95","Elephantidae",504
"Mammuthus meridionalis","Africa","1.6","1.8","Elephantidae",505
"Mammuthus meridionalis","Africa","1.6","1.8","Elephantidae",505
"Mammuthus meridionalis","North America","0.85","1.9","Elephantidae",506
"Mammuthus meridionalis","North America","0.85","1.9","Elephantidae",507
"Mammuthus meridionalis","Eurasia","1.95","2.675","Elephantidae",508
"Mammuthus meridionalis","Eurasia","1.98","2.6","Elephantidae",509
"Mammuthus meridionalis","Eurasia","2.1","2.6","Elephantidae",510
"Mammuthus meridionalis","Eurasia","2.32","2.6","Elephantidae",511
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",512
"Mammuthus meridionalis","Eurasia","1.95","2.6","Elephantidae",513
"Mammuthus meridionalis","Eurasia","1.98","2.6","Elephantidae",514
"Mammuthus meridionalis","Eurasia","1.98","2.6","Elephantidae",515
"Mammuthus meridionalis","Eurasia","2.09","2.21","Elephantidae",516
"Mammuthus meridionalis","Eurasia","1.98","2.14","Elephantidae",517
"Mammuthus meridionalis","Eurasia","1.98","2.14","Elephantidae",518
"Mammuthus meridionalis","Eurasia","1.6","2","Elephantidae",519
"Mammuthus meridionalis","Eurasia","1.7","2","Elephantidae",520
"Mammuthus meridionalis","Eurasia","0.3","1.9","Elephantidae",521
"Mammuthus meridionalis","Eurasia","0.781","1.9","Elephantidae",522
"Mammuthus meridionalis","Eurasia","0.9","1.9","Elephantidae",523
"Mammuthus meridionalis","Eurasia","1.68","1.86","Elephantidae",524
"Mammuthus meridionalis","Eurasia","1.68","1.86","Elephantidae",525
"Mammuthus meridionalis","Eurasia","1.6","1.8","Elephantidae",526
"Mammuthus meridionalis","Eurasia","1.6","1.8","Elephantidae",527
"Mammuthus meridionalis","Eurasia","1.75","1.8","Elephantidae",528
"Mammuthus meridionalis","Eurasia","1.3","1.7","Elephantidae",529
"Mammuthus meridionalis","Eurasia","1.1","1.3","Elephantidae",530
"Mammuthus meridionalis","Eurasia","0.988","1.07","Elephantidae",531
"Mammuthus meridionalis","Eurasia","1.806","2.588","Elephantidae",532
"Mammuthus meridionalis","Eurasia","1.9","2.5","Elephantidae",533
"Mammuthus meridionalis","Eurasia","1.54","2.32","Elephantidae",534
"Mammuthus meridionalis","Eurasia","1.37","2.11","Elephantidae",535
"Mammuthus meridionalis","Eurasia","1.19","1.567","Elephantidae",536
